Nombre de la Empresa,Nombre del puesto,Localizacion,Tipo de jornada,Disponibilidad,Requisitos,Justificacion del encaje
EduTech World,Frontend Developer,Remoto (España),Jornada Completa,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Se valora la experiencia previa en proyectos similares del sector.
AutoDrive AI,Backend Developer,"Palma, España",Flexible,Inmediata,Sólidos conocimientos en algoritmos y estructuras de datos.,Perfil orientado a resultados con foco en la calidad del código.
FinTech Giants,Junior Software Engineer,"Málaga, España",Jornada Completa,Inmediata,Conocimientos avanzados en C++ y sistemas embebidos.,El candidato debe demostrar liderazgo y capacidad de mentoría.
GameDev Studios,DevOps Engineer,"Madrid, España",Media Jornada,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Se valora la experiencia previa en proyectos similares del sector.
AutoDrive AI,Frontend Developer,Remoto (Europa),Media Jornada,Inmediata,Experiencia en Big Data y herramientas como Spark o Hadoop.,Se valora la experiencia previa en proyectos similares del sector.
TechNova Solutions,Mobile Developer (iOS/Android),"Sevilla, España",Media Jornada,Flexible,Sólidos conocimientos en algoritmos y estructuras de datos.,Buscamos innovación y proactividad para resolver retos complejos.
CyberSec Experts,Lead Software Engineer,Remoto (Europa),Media Jornada,Inmediata,Nivel de inglés B2/C1 y capacidad analítica.,Fuerte base técnica con visión estratégica del producto.
AutoDrive AI,Fullstack Developer,"Sevilla, España",Jornada Completa,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Buscamos innovación y proactividad para resolver retos complejos.
MobileFirst Corp,Backend Developer,"Bilbao, España",Jornada Completa,1 mes,Dominio de Java y Spring Boot. Experiencia en microservicios.,Interés por las últimas tecnologías y aprendizaje continuo.
CloudLink Partners,Senior Software Engineer,"Zaragoza, España",Media Jornada,Inmediata,"Experiencia en AWS/Azure, Docker y Kubernetes.",Interés por las últimas tecnologías y aprendizaje continuo.
MobileFirst Corp,Software Engineer,"Bilbao, España",Media Jornada,Flexible,Conocimientos avanzados en C++ y sistemas embebidos.,Interés por las últimas tecnologías y aprendizaje continuo.
CloudLink Partners,Security Analyst,"Barcelona, España",Media Jornada,15 días,Experiencia en desarrollo móvil con Flutter o React Native.,El candidato debe demostrar liderazgo y capacidad de mentoría.
LogisticsPlus,Security Analyst,"Barcelona, España",Media Jornada,Flexible,Nivel de inglés B2/C1 y capacidad analítica.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
Future Mobility,Data Engineer,"Valencia, España",Flexible,Flexible,Conocimientos en Python y SQL. Experiencia con frameworks web.,Capacidad para trabajar en entornos ágiles y multidisciplinares.
